Date,Open,High,Low,Close,Volume,Adj Close
2000-02-17,140.4375,140.4375,138.2187,138.2812,138.2812,138.2812
2000-02-18,138.875,138.875,134.625,135.3125,135.3125,135.3125
2000-02-22,135.1875,136.3437,133.5312,134.9687,134.9687,134.9687
2000-02-23,135.625,137.4687,134.5,136.5625,136.5625,136.5625
2000-02-24,136.6875,137.0312,133.0937,133.8125,133.8125,133.8125
2000-02-25,135.1875,136.7187,133.125,133.3281,133.3281,133.3281
2000-02-28,133.375,136.6875,132.7187,136.125,136.125,136.125
2000-02-29,136.0625,137.4375,135.75,137.4375,137.4375,137.4375
2000-03-01,137.625,139.0,137.2187,138.4375,138.4375,138.4375
2000-03-02,138.6875,139.125,137.3437,138.5312,138.5312,138.5312
2000-03-03,140.4375,141.7187,139.7187,141.125,141.125,141.125
2000-03-06,140.8125,141.3437,138.75,139.75,139.75,139.75
2000-03-07,140.0,140.1562,135.2187,137.0468,137.0468,137.0468
2000-03-08,136.4687,137.8437,135.0312,136.875,136.875,136.875
2000-03-09,137.25,140.875,136.125,140.875,140.875,140.875
2000-03-10,140.1875,142.0,139.5312,140.125,140.125,140.125
2000-03-13,136.6875,140.4687,135.6875,138.5937,138.5937,138.5937
2000-03-14,139.2812,140.0937,136.1562,136.625,136.625,136.625
2000-03-15,136.875,140.4375,136.0625,139.8125,139.8125,139.8125
2000-03-16,141.625,146.8437,140.875,146.3437,146.3437,146.3437
2000-03-17,145.8125,148.0,145.4375,146.9375,146.9375,146.9375
2000-03-20,146.875,147.3437,144.7812,146.1875,146.1875,146.1875
2000-03-21,145.5312,149.75,144.5,149.1875,149.1875,149.1875
2000-03-22,149.5625,150.8437,148.6875,150.0937,150.0937,150.0937
2000-03-23,149.1562,153.4687,149.1562,152.6562,152.6562,152.6562
2000-03-24,152.875,155.75,151.7187,153.5625,153.5625,153.5625
2000-03-27,153.375,153.7812,151.8125,151.9375,151.9375,151.9375
2000-03-28,151.25,152.9843,150.5937,151.0625,151.0625,151.0625
2000-03-29,151.5625,152.4843,149.6562,151.2187,151.2187,151.2187
2000-03-30,150.1562,151.9218,147.125,148.6875,148.6875,148.6875
